시점,구분별,영업이익실적SBHI
2015.1,가구,65.7
2015.1,기타제품,81.7
2015.1,비제조업,84
2015.1,건설업,79.9
2015.1,도매 및 소매업,84.3
2015.1,운수업,87.5
2015.1,숙박 및 음식점업,88
2015.1,"출판,영상,방송통신 및 정보서비스업",87.3
2015.1,부동산업 및 임대업,94.1
2015.1,"전문,과학 및 기술서비스업",85.1
2015.1,사업시설관리 및 사업지원서비스업,88.7
2015.1,교육서비스업,83.6
2015.1,"예술,스포츠 및 여가관련서비스업",82.9
2015.1,수리 및 기타개인서비스업,73.3
2015.11,전산업,80.2
2015.11,식료품,80.8
2015.11,음료,91.7
2015.11,섬유제품;의복제외,71.7
2015.11,"의복,의복악세서리및모피제품",71.6
2015.11,"가죽,가방및신발",72.9
2015.11,목재및나무제품;가구제외,70.8
2015.11,"펄프,종이및종이제품",81.9
2015.11,인쇄및기록매체복제업,86.3
2015.11,화학물질및화학제품;의약품제외,87.9
2015.11,의료용물질및의약품,94.3
2015.11,고무제품및플라스틱제품,82
2015.11,비금속광물제품,79.9
2015.11,1차금속,73.9
2015.11,금속가공제품;기계및가구제외,81.9
2015.11,"전자부품,컴퓨터,영상,음향및통신장비",79.8
2015.11,"의료,정밀,광학기기및시계",82.1
2015.11,전기장비,78.7
2015.11,기타기계및장비,73.6
2015.11,자동차및트레일러,85.4
2015.11,기타운송장비,76.9
2015.11,가구,65.3
2015.11,기타제품,81.8
2015.11,비제조업,80.5
2015.11,건설업,76.8
2015.11,도매 및 소매업,79.8
2015.11,운수업,86.2
2015.11,숙박 및 음식점업,88.6
2015.11,"출판,영상,방송통신 및 정보서비스업",88.9
2015.11,부동산업 및 임대업,86
2015.11,"전문,과학 및 기술서비스업",88
2015.11,사업시설관리 및 사업지원서비스업,81.9
2015.11,교육서비스업,81.6
2015.11,"예술,스포츠 및 여가관련서비스업",79.9
2015.11,수리 및 기타개인서비스업,80.9
2015.12,전산업,79.7
2015.12,식료품,84.2
2015.12,음료,89.6
2015.12,섬유제품;의복제외,73.3
2015.12,"의복,의복악세서리및모피제품",65.6
2015.12,"가죽,가방및신발",67.5
2015.12,목재및나무제품;가구제외,61.9
2015.12,"펄프,종이및종이제품",77.7
2015.12,인쇄및기록매체복제업,92.6
2015.12,화학물질및화학제품;의약품제외,81.5
2015.12,의료용물질및의약품,94.2
2015.12,고무제품및플라스틱제품,75.6
2015.12,비금속광물제품,75.8
2015.12,1차금속,77.7
2015.12,금속가공제품;기계및가구제외,73.9
2015.12,"전자부품,컴퓨터,영상,음향및통신장비",77.9
2015.12,"의료,정밀,광학기기및시계",72.3
2015.12,전기장비,71.2
2015.12,기타기계및장비,78.5
2015.12,자동차및트레일러,74.5
2015.12,기타운송장비,77.9
2015.12,가구,69.8
2015.12,기타제품,74
2015.12,비제조업,81
2015.12,건설업,72.7
2015.12,도매 및 소매업,81.4
