구분별,시점,경기실적SBHI
혁신형기업,2020.06 월,62.8
혁신형기업,2020.07 월,72.5
혁신형기업,2020.08 월,69.3
혁신형기업,2020.09 월,81.5
혁신형기업,2020.10 월,82.6
혁신형기업,2020.11 월,81.9
혁신형기업,2020.12 월,78.2
혁신형기업,2021.01 월,82.7
혁신형기업,2021.02 월,62.9
혁신형기업,2021.03 월,75.6
혁신형기업,2021.04 월,76.2
혁신형기업,2021.05 월,73.6
혁신형기업,2021.06 월,72.7
혁신형기업,2021.07 월,72.2
혁신형기업,2021.08 월,76.6
혁신형기업,2021.09 월,76.9
혁신형기업,2021.10 월,83.4
혁신형기업,2021.11 월,95.6
혁신형기업,2021.12 월,92.5
혁신형기업,2022.01 월,82.3
혁신형기업,2022.02 월,74.2
혁신형기업,2022.03 월,82.5
혁신형기업,2022.04 월,80.8
제조업,2015.01 월,77.2
제조업,2015.02 월,73.8
제조업,2015.03 월,84.8
제조업,2015.04 월,85.7
제조업,2015.05 월,85.1
제조업,2015.06 월,79.5
제조업,2015.07 월,79.8
제조업,2015.08 월,78.2
제조업,2015.09 월,84.6
제조업,2015.10 월,85.1
제조업,2015.11 월,82.9
제조업,2015.12 월,80.1
제조업,2016.01 월,77.3
제조업,2016.02 월,71.4
제조업,2016.03 월,87.3
제조업,2016.04 월,89.2
제조업,2016.05 월,88.3
제조업,2016.06 월,85.6
제조업,2016.07 월,86.8
제조업,2016.08 월,81.4
제조업,2016.09 월,86.6
제조업,2016.10 월,84
제조업,2016.11 월,83.4
제조업,2016.12 월,81.4
제조업,2017.01 월,76.2
제조업,2017.02 월,77.8
제조업,2017.03 월,86.7
제조업,2017.04 월,87.1
제조업,2017.05 월,83
제조업,2017.06 월,85.3
제조업,2017.07 월,83.5
제조업,2017.08 월,79.3
제조업,2017.09 월,89.7
제조업,2017.10 월,80.2
제조업,2017.11 월,86.3
제조업,2017.12 월,83.7
제조업,2018.01 월,78.5
제조업,2018.02 월,75.2
제조업,2018.03 월,84.5
제조업,2018.04 월,86.8
제조업,2018.05 월,86.3
제조업,2018.06 월,85.5
제조업,2018.07 월,80.9
제조업,2018.08 월,79
제조업,2018.09 월,81.9
제조업,2018.10 월,82.1
제조업,2018.11 월,82.8
제조업,2018.12 월,81.3
제조업,2019.01 월,78.2
제조업,2019.02 월,70.9
제조업,2019.03 월,82.3
제조업,2019.04 월,84.7
제조업,2019.05 월,83.7
제조업,2019.06 월,82.6
제조업,2019.07 월,79.7
제조업,2019.08 월,75.9
제조업,2019.09 월,76.2
제조업,2019.10 월,80.2
제조업,2019.11 월,83.2
제조업,2019.12 월,81.6
제조업,2020.01 월,77.2
제조업,2020.02 월,69.2
제조업,2020.03 월,68.3
제조업,2020.04 월,60.8
제조업,2020.05 월,59.2
제조업,2020.06 월,63
제조업,2020.07 월,71
제조업,2020.08 월,67.8
제조업,2020.09 월,74.6
제조업,2020.10 월,79
제조업,2020.11 월,80.1
제조업,2020.12 월,77.1
제조업,2021.01 월,74.1
제조업,2021.02 월,74.2
제조업,2021.03 월,82.9
